,Hotel_Name,Hotel_Prices,Hotel_Review
0,Condo in New Delhi,$18 night$18 per night,4.89 (9)
1,Home in New Delhi,$105 night$105 per night,4.92 (230)
2,Apartment in New Delhi,"$124 $113 night$113 per night, originally $124",4.92 (135)
3,Apartment in New Delhi,$36 night$36 per night,4.84 (360)
4,Place to stay in New Delhi,$84 night$84 per night,4.87 (77)
5,Condo in New Delhi,$46 night$46 per night,4.96 (158)
6,Apartment in New Delhi,$26 night$26 per night,4.77 (226)
7,Apartment in New Delhi,$25 night$25 per night,4.57 (132)
8,Apartment in New Delhi,$198 night$198 per night,4.82 (132)
9,Apartment in New Delhi,$69 night$69 per night,4.67 (3)
10,Vacation home in New Delhi,$41 night$41 per night,4.93 (14)
11,Bungalow in Gurgaon,"$84 $72 night$72 per night, originally $84",4.93 (54)
12,Apartment in New Delhi,"$20 $17 night$17 per night, originally $20",4.68 (130)
13,Apartment in New Delhi,$77 night$77 per night,4.82 (494)
14,Home in New Delhi,"$79 $71 night$71 per night, originally $79",4.99 (166)
15,Farm stay in New Delhi,$128 night$128 per night,5.0 (3)
16,Vacation home in New Delhi,$92 night$92 per night,4.82 (51)
17,Apartment in New Delhi,$33 night$33 per night,New
18,Guest suite in New Delhi,$18 night$18 per night,4.91 (92)
19,Room in New Delhi,$105 night$105 per night,4.99 (105)
20,Condo in New Delhi,"$124 $113 night$113 per night, originally $124",4.96 (158)
21,Apartment in New Delhi,$36 night$36 per night,4.92 (135)
22,Apartment in New Delhi,$84 night$84 per night,4.84 (360)
23,Condo in New Delhi,$46 night$46 per night,4.89 (9)
24,Hotel room in New Delhi,$26 night$26 per night,4.62 (284)
25,Apartment in New Delhi,$25 night$25 per night,4.82 (132)
26,Apartment in New Delhi,$198 night$198 per night,4.57 (132)
27,Apartment in New Delhi,$69 night$69 per night,4.74 (125)
28,Apartment in Rohini,$41 night$41 per night,4.7 (43)
29,Apartment in New Delhi,"$84 $72 night$72 per night, originally $84",4.75 (224)
30,Apartment in New Delhi,"$20 $17 night$17 per night, originally $20",4.88 (24)
31,Apartment in New Delhi,$77 night$77 per night,4.97 (62)
32,Condo in New Delhi,"$79 $71 night$71 per night, originally $79",4.96 (28)
33,Apartment in New Delhi,$128 night$128 per night,4.91 (109)
34,Apartment in New Delhi,$92 night$92 per night,4.67 (3)
35,Hotel in New Delhi,$33 night$33 per night,4.6 (52)
36,Condo in New Delhi,$18 night$18 per night,4.89 (9)
37,Home in New Delhi,$105 night$105 per night,4.92 (230)
38,Apartment in New Delhi,"$124 $113 night$113 per night, originally $124",4.92 (135)
39,Apartment in New Delhi,$36 night$36 per night,4.84 (360)
40,Place to stay in New Delhi,$84 night$84 per night,4.87 (77)
41,Condo in New Delhi,$46 night$46 per night,4.96 (158)
42,Apartment in New Delhi,$26 night$26 per night,4.77 (226)
43,Apartment in New Delhi,$25 night$25 per night,4.57 (132)
44,Apartment in New Delhi,$198 night$198 per night,4.82 (132)
45,Apartment in New Delhi,$69 night$69 per night,4.67 (3)
46,Vacation home in New Delhi,$41 night$41 per night,4.93 (14)
47,Bungalow in Gurgaon,"$84 $72 night$72 per night, originally $84",4.93 (54)
48,Apartment in New Delhi,"$20 $17 night$17 per night, originally $20",4.68 (130)
49,Apartment in New Delhi,$77 night$77 per night,4.82 (494)
50,Home in New Delhi,"$79 $71 night$71 per night, originally $79",4.99 (166)
51,Farm stay in New Delhi,$128 night$128 per night,5.0 (3)
52,Vacation home in New Delhi,$92 night$92 per night,4.82 (51)
53,Apartment in New Delhi,$33 night$33 per night,New
54,Guest suite in New Delhi,$18 night$18 per night,4.91 (92)
55,Room in New Delhi,$105 night$105 per night,4.99 (105)
56,Condo in New Delhi,"$124 $113 night$113 per night, originally $124",4.96 (158)
57,Apartment in New Delhi,$36 night$36 per night,4.92 (135)
58,Apartment in New Delhi,$84 night$84 per night,4.84 (360)
59,Condo in New Delhi,$46 night$46 per night,4.89 (9)
60,Hotel room in New Delhi,$26 night$26 per night,4.62 (284)
61,Apartment in New Delhi,$25 night$25 per night,4.82 (132)
62,Apartment in New Delhi,$198 night$198 per night,4.57 (132)
63,Apartment in New Delhi,$69 night$69 per night,4.74 (125)
64,Apartment in Rohini,$41 night$41 per night,4.7 (43)
65,Apartment in New Delhi,"$84 $72 night$72 per night, originally $84",4.75 (224)
66,Apartment in New Delhi,"$20 $17 night$17 per night, originally $20",4.88 (24)
67,Apartment in New Delhi,$77 night$77 per night,4.97 (62)
68,Condo in New Delhi,"$79 $71 night$71 per night, originally $79",4.96 (28)
69,Apartment in New Delhi,$128 night$128 per night,4.91 (109)
70,Apartment in New Delhi,$92 night$92 per night,4.67 (3)
71,Hotel in New Delhi,$33 night$33 per night,4.6 (52)
72,Guest suite in New Delhi,$18 night$18 per night,4.91 (92)
73,Room in New Delhi,$105 night$105 per night,4.99 (105)
74,Condo in New Delhi,"$124 $113 night$113 per night, originally $124",4.96 (158)
75,Apartment in New Delhi,$36 night$36 per night,4.92 (135)
76,Apartment in New Delhi,$84 night$84 per night,4.84 (360)
77,Condo in New Delhi,$46 night$46 per night,4.89 (9)
78,Hotel room in New Delhi,$26 night$26 per night,4.62 (284)
79,Apartment in New Delhi,$25 night$25 per night,4.82 (132)
80,Apartment in New Delhi,$198 night$198 per night,4.57 (132)
81,Apartment in New Delhi,$69 night$69 per night,4.74 (125)
82,Apartment in Rohini,$41 night$41 per night,4.7 (43)
83,Apartment in New Delhi,"$84 $72 night$72 per night, originally $84",4.75 (224)
84,Apartment in New Delhi,"$20 $17 night$17 per night, originally $20",4.88 (24)
85,Apartment in New Delhi,$77 night$77 per night,4.97 (62)
86,Condo in New Delhi,"$79 $71 night$71 per night, originally $79",4.96 (28)
87,Apartment in New Delhi,$128 night$128 per night,4.91 (109)
88,Apartment in New Delhi,$92 night$92 per night,4.67 (3)
89,Hotel in New Delhi,$33 night$33 per night,4.6 (52)
